Tipo Reporte;Operador;Aeródromo;Data;Hora;UF;Cidade;Fase de Operação;Efeito no Voo;Colisão;;year;month
CONTROLADOR DE TRÁFEGO AÉREO;TWR-GL;SBGL;2023-09-24;07:00:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcPZlRRpXTWJVU&acao=detalhar;2023;9
OPERADOR;BMKC;SBMT;2023-09-24;10:15:00;SP;Sao Paulo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcPFGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;BMKC;SBMT;2023-09-24;00:00:00;SP;Sao Paulo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcPFGbSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;xzfs;SBMT;2023-09-24;11:24:00;SP;Sao Paulo;Decolagem;Nenhum;Não;detalhar?op===AUUhmRVxGcPFGbSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;SBGW;2023-09-24;00:00:00;SP;Aparecida;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcPFGbRpXTWJVU&acao=detalhar;2023;9
ADMINISTRAÇÃO AEROPORTUÁRIA;riogaleao;SBGL;2023-09-24;07:21:00;RJ;Rio de Janeiro;;;Não;detalhar?op===AUUhmRVxGcPVGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;LATAM;;2023-09-24;17:11:00;MG;Abadia dos Dourados;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcPVGbSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;Gol;;2023-09-24;14:00:00;RJ;Macae;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTZlRSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;16:13:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTZlRSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;16:13:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTZlRSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;16:13:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTZlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;16:12:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTFGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;16:13:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTFGbSNVTWJVU&acao=detalhar;2023;9
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBRJ;2023-09-24;15:31:00;RJ;Rio de Janeiro;;Nenhum;Não;detalhar?op===AUUhmRVxGcTFGbSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;00:00:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTFGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;FIR Brasília Setor 15;2023-09-24;00:00:00;MG;Confins;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcTVGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;BLMJ;SBMT;2023-09-23;09:26:00;SP;Sao Paulo;Decolagem;Nenhum;Não;detalhar?op===AUUhmRVxGcLVGbSNVTWJVU&acao=detalhar;2023;9
PILOTO;Gol;SBGR;2023-09-23;10:30:00;SP;Guarulhos;STAR,Descida;Nenhum;Não;detalhar?op===AUUhmRVxGcPZlRSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;SBBH;2023-09-23;14:40:00;MG;Belo Horizonte;;;Não;detalhar?op===AUUhmRVxGcPZlRSNVTWJVU&acao=detalhar;2023;9
PILOTO;GTE;SBSP;2023-09-23;07:15:00;SP;Sao Paulo;Subida;Nenhum;Não;detalhar?op===AUUhmRVxGcPZlRSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;GLO1693;SBGR;2023-09-21;15:34:00;SP;Guarulhos;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGcLVGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;SBSJ;2023-09-20;14:15:00;SP;Sao Jose dos Campos;;Nenhum;Não;detalhar?op===AUUhmRVxGcLFGbSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-09-20;00:49:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxGcLFGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-09-18;23:54:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxGcLZlRSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;KLM791;SBGR;2023-09-18;22:37:00;SP;Guarulhos;;Pouso;Sim;detalhar?op===AUUhmRVxGcLFGbSNVTWJVU&acao=detalhar;2023;9
OUTRO;;GRU;2023-09-17;07:20:00;SP;Adamantina;Manobra;Nenhum;Não;detalhar?op===AUUhmRVxGcDZlRSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;PRWHZ;SDRK;2023-09-17;10:58:00;SP;Rio Claro;Outra;;Não;detalhar?op===AUUhmRVxGcDZlRSVXTWJVU&acao=detalhar;2023;9
OUTRO;;SBBI;2023-09-17;11:50:00;PR;Curitiba;Aproximação f...;Arremetida;Não;detalhar?op===AUUhmRVxGcDZlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBSP;2023-09-17;09:14:00;SP;Sao Paulo;Decolagem,Subid...;;Não;detalhar?op===AUUhmRVxGcDFGbSNUTWJVU&acao=detalhar;2023;9
OUTRO;;Não necessita de Aeródromo;2023-09-17;09:20:00;SP;Vinhedo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbSNVTWJVU&acao=detalhar;2023;9
PILOTO;Azul;SBJD;2023-09-17;11:50:00;SP;Campinas;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbSVXTWJVU&acao=detalhar;2023;9
PILOTO;Azul;SBCW;2023-09-17;12:15:00;PR;Curitiba;Descida;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbRpXTWJVU&acao=detalhar;2023;9
